title,url,company,description,city,requirements,experience
Senior Backend Engineer (Custom Models team),https://jobs.dou.ua/companies/datarobot/vacancies/269927/?from=list_hot,DataRobot,"DataRobot is the leader in Value-Driven AI, a unique and collaborative approach to generative and predictive AI that combines an open platform, deep expertise and broad use-case experience to improve how organizations run, grow and optimize their business. The DataRobot AI Platform is the only complete AI lifecycle platform that interoperates with an organization’s existing investments in data, applications and business processes, and can be deployed on prem or on any cloud environment. Global organizations, including 40% of the Fortune 50, rely on DataRobot to drive greater impact and value from AI.Custom Models domain is a team, focused on developing one of the key components of the DataRobot MLOps platform, backed by Kubernetes. We’re building a toolset to run user-supplied ML models and arbitrary code fully equipped with MLOps features: data drift, accuracy tracking, retraining and so on. We are looking for a Senior Software Engineer to join us and accelerate building top solutions for our platform. Key Responsibilities:Partners with Product Managers and Data Scientists to determine process and execute on designing and implementing new features, and shiping end-to-end to both Cloud and Enterprise. Design and build application-level software working with Kubernetes Infrastructure and containers.Partners with the DevOps and Security team to build Enterprise installation and documentation.Lead projects, communicate requirements and scope. Design, build and document extendable REST APIs using Python Flask and OpenAPI schema.Maintain and improve the existing codebase.Troubleshooting complex production environments at the application and DB level.Evaluate and validate code with tests. Knowledge, Skills and Abilities:7+ years of professional software developmentStrong Python knowledgeUnderstanding of networkingBuilding containerized applicationsAbility to plan and lead projects from start to finish and explain your design decisionsGreat communication skills: ability to work in teams, share knowledge and write documentation.Computer science fundamentals, basic understanding of algorithms and time complexity.Ability to write quality integration/functional tests.Nice to have:Bachelor’s degree in relevant fieldKubernetes fundamentals, developer-level experience.Experience with Docker.Experience with AWS/Azure/GCP.DevOps fundamentals, scripting.Building CI/CD pipelines using Jenkins.Our benefits include, but not limited to: — medical insurance (for you and your +1)— unlimited vacation policy— quarterly company-wide day off for self care— flexible working hours and remote policy— paid parental leave— mental health support services— sport compensation— learning budget— IT equipment","Київ, Львів, Хмельницький, віддалено","Python, Flask, REST API, Jenkins, Docker, Kubernetes, AWS, GCP, Azure",5+
Senior FullStack Engineer (Python/React),https://jobs.dou.ua/companies/ukeess-software-house/vacancies/274258/,UKEESS Software House,"The team of UKEESS Software House is currently looking for a Senior FullStack Engineer (Python/React) to join our team for a full-time position (remotely in Ukraine or in Lviv’s office).About the Customer and the Project:Our customer is the world’s largest DNA network from the USA. This presents a unique opportunity to work with more than 30 billion digitized global historical records, 100 million family trees, and 18+ million people in their growing database. Our customers help people discover their family stories and gain actionable insights about their health and wellness. About the team:As part of the Data Science Engineering Team, you will be responsible for deploying and operating data science models designed to extract data from images. This includes image classification, image segmentation, handwriting recognition, and natural language processing. The team accepts the models from data scientists as Python applications using the SageMaker Model Registry. Additionally, we build and maintain web applications for model output visualization. Responsibilities will include:Maintaining infrastructures and environments of all types, from dev to productionWork with Data Scientists, Data Engineers, Software Engineers, and Product teamsWork on and guide microservice REST API designWrite key algorithms to maximize scalability and reliabilityFocus on and working with throughput, scale, cost, and error handlingWrite code and unit testsConduct code reviewsDiagnose complex problems involving multiple systems and technologiesSecurity monitoring and administrationIdentify opportunities to adopt innovative technologiesRequirements:6+ years of commercial experience with Python3+ years of commercial experience with React3+ years of commercial experience with AWS (SQS, SNS, S3, and Lambdas)Commercial experience with relational database 3+ years of commercial experience with customer-facing operations, including monitoring, cost analysis, and troubleshooting production issuesEnglish: Upper-intermediate at least (both spoken and written)It will be a plus:Bachelor’s degree in a related field or equivalent experienceTerraform and Data Science experience What do we offer our new colleague?Competitive compensation (based on market data but also depending on the technical level of the candidate)Flexible work schedule3 health packages to chooseAnnual paid vacation and state holiday celebrationFree English classes (online)Individual approach to professional growthLack of bureaucracy and micromanagementModern, comfortable office facilities (a barbecue zone, kitchens, lounge rooms, coffee machines, etc.)Foreign business trips (after the war)On-site parking lot and charge station for Electric CarsCorporate gifts, celebrations, and fun activitiesSports activities: ping-pong, soccer, work-outIf you have a passion for solving challenging problems; building scalable, robust systems; love working with the latest technologies in a fast-paced, flexible environment; and are excited at the prospect of having a significant impact on products which has more than 3 million paying subscribers, then we want to talk to you! ;-)","Львів, віддалено","Python, React, REST API, Git, AWS, Nose, Terraform",5+
Senior Python Engineer (based in Europe)_Education Domain,https://jobs.dou.ua/companies/avenga/vacancies/269724/,Avenga,"Avenga is looking for a highly skilled Python Engineer to join our American project. Our project is a learning platform that is currently under development and is designed to be deployed on the infrastructure of our customers’ clients. The platform collects, analyzes, and processes data from various sources to create learning materials.As a Senior Python Engineer, you will take part in the development of a new product from scratch and be responsible for designing, developing, and maintaining robust Python applications and services. What do you bring along:5+ years of experience in Python;Expertise in Azure services, including Azure Functions, Azure DevOps, Azure SQL Database, and other relevant Azure tools;Experience with Docker;Knowledge of RESTful APIs and microservices architecture;Experience with PostgreSQL or similar relational database systems;Ability to write clean, well-documented, and efficient code, even for tasks that may not be fully specified;Excellent problem-solving skills and the ability to work independently and as part of a team;English — upper intermediate or higher.Nice to have:Experience in Data engineer position;Experience with Kubernetes.This is your mission:Develop, maintain, and improve our software applications with a focus on efficiency and scalability;Utilize Azure services and tools to build, deploy, and manage applications in the cloud;Conduct thorough code reviews, provide constructive feedback, and ensure code quality and adherence to best practices;Proactively identify, troubleshoot, and resolve bugs in the codebase;Make existing code lint-compliant to enhance code quality and maintainability;Refactor code to improve readability, performance, and adherence to best practices;Follow software design and implementation directives, while also being comfortable working independently with minimal supervision.Cooperation conditions:Everyone at Avenga is subject to professional growth via our mentorship program;Our specialists get regular performance reviews and technical assessments to identify development plans;The company provides extended training and certification opportunities;Opportunity to take up to 21 days of unpaid time off per year for any reason;Designated HR partner to support you with any HR-related matters on your way with Avenga.",за кордоном,"Python, SQL, PostgreSQL, Azure DevOps, Docker, Kubernetes, Azure",5+
Senior software engineer (scraping),https://jobs.dou.ua/companies/competera/vacancies/266859/,Competera,"In Competera, we are building a place where optimal pricing decisions can be made easily. We believe that AI technologies will soon drive all challenging decisions and are capable of helping humans be better. We are now looking for a Senior Software Engineer to help us turn business ideas into cutting-edge tech solutions that explicitly drive the product and the company towards its strategic direction.Our stack:Programming Languages: Python.Tech Stack: PostgreSQL, asyncio, FastAPI, Apache Kafka, ClickHouse, BigQuery, GCS, Scrapy, Selenium, PyppeteerInfrastructure: Kubernetes, Helm, ArgoCD, Grafana, Prometheus, Sentry, OpsGenie.You could be a perfect match for the position ifYou want to:Design and implement scalable and efficient services for a web scraping system using Python and relevant libraries.Lead the development team in overcoming anti-scraping measures such as CAPTCHAs, rate limiting, and dynamic content loading.Mentor and guide junior engineers in the team, fostering their growth and development.Automate existing scraper development processes using tools and frameworks to improve efficiency and maintainability.Monitor system performance and proactively identify and address any issues.Design and implement microservices architecture for modularity and scalability.Apply Domain-Driven Design (DDD) principles to ensure clean and maintainable code.Stay up-to-date with the latest advancements and best practices in web scraping.You have:5+ years of experience as a Software Engineer with a strong track record in web scraping.Proven expertise in Python and relevant libraries like Scrapy, Selenium, Pyppeteer, Playwright.In-depth understanding of web protocols and how modern web works (SSL, proxies, cookies, headers, browsers).Experience with anti-scraping detection and bypass techniques.Experience with Kafka, Redis, and microservices architecture.Familiarity with Domain-Driven Design (DDD) principles.Eng — interm +Pleasant extras:Experience with cloud platforms like AWS or GCP.Experience with data quality and cleaning techniques.Knowledge of machine learning and data analysis techniques.Soft skills:Ability to lead and mentor junior engineers in overcoming technical challenges.Proactive approach to identifying and solving problems, seeking out new opportunities.Ability to work independently and as part of a team in a fast-paced environment.Ability to learn new technologies and adapt to changing web scraping landscapes.You’re gonna love it, and here’s why:Rich innovative software stack, freedom to choose the best suitable technologies.Remote-first ideology: freedom to operate from the home office or any suitable coworking.Flexible working hours (we start from 8 to 11 am) and no time tracking systems on.Regular performance and compensation reviews.Recurrent 1-1s and measurable OKRs.In-depth onboarding with a clear success track.Competera covers 70% of your training/course fee.20 vacation days, 15 days off, and up to one week of paid Christmas holidays.20 business days of sick leave.Partial medical insurance coverage.We reimburse the cost of coworking.Drive innovations with us. Be a Competerian.",віддалено,"Python, SQL, FastAPI, PostgreSQL, Redis, Kubernetes, AWS, GCP, Selenium, Prometheus, Grafana, Scrapy, Apache Kafka, Asyncio",5+
Senior Python Integration Specialist,https://jobs.dou.ua/companies/energame/vacancies/268974/,Energame,"Energame is a management consultancy and an investment advisory firm specialized in online entertainment, encompassing areas of sports betting, gambling, cybersport, fantasy sports, IT platform solutions, and content production worldwide.The biggest advantage we bring, beyond our comprehensive expertise, includes 30 years of hands-on experience, a global network, and growth mindset.We are looking for a Senior Python Integration Specialist to join our team.Your main responsibilities will be:— System Integration: Design, develop, and maintain integrations between various corporate systems, both internal and external;— API Development: Create and manage APIs to facilitate data exchange and system communication;— Problem Solving: Identify, diagnose, and resolve complex integration issues with innovative and effective solutions;— Collaboration: Work closely with cross-functional teams, including business analysts, project managers, and other developers to gather requirements and deliver high-quality solutions;— Code Quality: Write clean, maintainable, and efficient code following best practices and company standards;— Continuous Improvement: Stay updated with the latest industry trends and technologies, and apply them to improve the integration processes and solutions.Essential professional experience:— 3+ years of work experience;— Strong knowledge of Python 3, including asyncio;— Software Design knowledge: OOD, OOP, Design patterns, Microservices;— Experience with message queues, task queues;— Experience with high load applications;— Knowledge of both SQL and NoSQL databases;— Desire to write algorithms with both O(1) time and memory complexity.Desirable skills and personal features:— Programming contests achievements;— Experience in building distributed systems based on services;— Experience with 10K+ TPS services, databases with more than a billion rows;— Experience in code review, CI/CD, automated testing;— Experience with Kafka;— Knowledge of Kubernetes;— Designing, implementing RESTful API’s (Aiohttp, Flask, FastAPI);— Strong communication skills;— Technical English;— Knowledge-sharing abilities.We care about you:Vacation: We prioritize your well-being. Our vacation policy offers 20 working days in Ukraine and 21 in Cyprus.Sick Leave Allowance: Your health is our priority. In addition to our standard sick leave allowance, we also offer a flexible sick leave policy without paperwork. You can take up to 5 working days in Ukraine and 3 working days in Cyprus without the need for supporting documents.Co-Working Compensation: Work flexibly, wherever you choose. We provide a monthly budget for co-working spaces in cities where we don’t have a physical location, or the option of a budget for home office expenses twice a year, available from day one.Benefits Model: Access our benefit programs to support your work-life balance, effective from day one. You can spend this budget on anything, starting from dental care for yourself to veterinary support for your four-legged friend.Motivation Bonus System: Recognizing your performance is fundamental to our culture. To reward your dedicated work, we have a Motivation Bonus System in place for all our employees.Work & Fun Balance: We believe the balance of work and fun is crucial for the well-being of our employees. Corporate events, gifts, and volunteering hours are available to everyone from day one.Taking care of our people is an integral part of Energame shared values, ensuring a supportive and positive workplace culture.Energame — це менеджмент компанія з управління активами і інвестиціями, що спеціалізується на онлайн-розвагах та охоплює сфери ставок на спорт, онлайн казино, кіберспорту, фентезі-спорту, рішень ІТ-платформ та виробництва контенту по всьому світу.Крім нашої всебічної експертизи, найбільші переваги, які ми пропонуємо — це 30 років практичного досвіду, глобальну мережу та мислення заточене під зростання.Ми шукаємо талановитого Senior Python Integration Specialist в нашу команду.Вашими основними завданнями будуть:Інтеграція систем: Розробка, проектування та підтримка інтеграції між різними корпоративними системами, як внутрішніми, так і зовнішніми;Розробка API: Створення та управління API для забезпечення обміну даними та комунікації між системами;Вирішення проблем: Виявлення, діагностика та вирішення складних проблем інтеграції за допомогою інноваційних та ефективних рішень;Співпраця: Тісна співпраця з кросфункціональними командами, включаючи бізнес-аналітиків, менеджерів проектів та інших розробників, для збору вимог та поставки високоякісних рішень;Якість коду: Написання чистого, підтримуваного та ефективного коду відповідно до найкращих практик та стандартів компанії;Постійне вдосконалення: Постійне оновлення з останніми тенденціями та технологіями галузі та їх використання для покращення процесів та рішень інтеграції.Необхідний професійний досвід:3+ роки досвіду роботи;Python 3, включаючи asyncio;Знання проектування програмного забезпечення: OOD, OOP, шаблони проектування, мікросервіси;Досвід роботи з чергами повідомлень, чергами завдань;Досвід роботи з високою навантаженістю додатків;Знання як SQL, так і NoSQL баз даних;Бажання писати алгоритми зі складністю часу та пам’яті O(1).Бажані навички та особисті якості:Досягнення у програмувальних конкурсах;Досвід у побудові розподілених систем на основі сервісів;Досвід роботи зі службами з TPS більше 10 тисяч, базами даних з більш ніж мільярдом рядків;Досвід у перегляді коду, CI/CD, автоматизованому тестуванні;Досвід роботи з Kafka;Знання Kubernetes;Проектування та реалізація RESTful API (Aiohttp, Flask, FastAPI);Сильні комунікаційні навички;Технічна англійська;Здатність до обміну знаннями.","за кордоном, віддалено","Python, SQL, Flask, FastAPI, Kubernetes, Nose, Asyncio",5+
Team Leader Python,https://jobs.dou.ua/companies/delphi-llc/vacancies/270819/,Delphi Software,"Our project is a financial planning and analysis platform that automates financial reporting and planning while enabling finance teams to continue using Excel’s familiar spreadsheets and financial models.We are looking for an experienced R&D Team Leader to join our team and help us succeed in its rapidly growing journey while maintaining high coding standards and quality. The potential candidate has creative solutions to complex challenges and a strong passion for success.RESPONSIBILITIESYou will lead a team of 4-5 developers, including a Frontend developer (Angular.JS) and a Backend developer (Python)You will be responsible for planning and managing the team’s day-to-day work (SCRUM, Kanban using JIRA)You will be responsible for the team’s execution, delivering high-quality product roadmap items on time, and meeting the team’s goalsYou will be 30-50% hands-on to support the teamYou will be responsible for the team’s performance (Testing, Design review, Codereview, Monitoring, etc.)You will work closely with our Architects, Product managers, Support, QA, another R&D Team leadersSKILLS5+ years of experience as a software engineer3+ years experience as an R&D Team Leader in a SaaS company.Experience in Python and Relational DBs (Postgres, MSSQL)Excellent knowledge and experience with building, optimizing, and maintaining large-scale production systemsExperience with writing unit testing and integration testingExperience with Cloud Architecture and services (Azure is an advantage)Ability to understand complex business logic and feel comfortable handling extensive data, complex ETL processes, and reportsBachelor’s degree in Computer Science or related fieldUpper-Intermediate level of EnglishWE OFFERWork in a creative friendly environment using cutting-edge technologiesWork-life balance and flexible scheduleCompetitive compensation with focus on your expectations; annual salary review24-day paid vacation and 100% paid sick leaveFinancial support and legal support for individual entrepreneurs from our sideProfessional, language and soft skills trainingsHealth insurance coverage: individual and family, Fitness plan","Вінниця, віддалено","Python, SQL, Angular, Azure",5+
Senior/Lead Python Software Engineer,https://jobs.dou.ua/companies/codeit/vacancies/270908/,CodeIT,"CodeIT is a service product development company. We know how to transform the business ideas into profitable IT products.We are excited to invite a talented Senior/Lead Python Software Engineer to join our dynamic team.Become a part of our journey to shape the future of technology, turning bold ideas into reality and crafting the solutions of tomorrow today!Requirements6+ years of commercial experience with PythonExcellent knowledge of Django + DRF or FastAPI/Flask + SQLAlchemy4+ years of commercial experience with Celery, with knowledge of any message broker (RabbitMQ preferred)Commercial experience with any SQL database (PostgreSQL preferred)Deep experience in writing unit testsExperience with container orchestration systems like Kubernetes, AWS ECS, Docker-SwarmStrong skills in Docker, Docker-ComposeDecent experience setting up CI/CD pipelinesCloud development experience (AWS or Google Cloud preferred)Good knowledge of Linux3+ years of experience in direct and intensive voice communication with English-speaking clients, including non-technical onesStrong experience in decomposing high-level or complex functionality/requirements into ready-to-do tech tasksProficient in writing technical documentationExperience in a Team Lead role on a project / department / unitMentorship experienceExperience in pre-sales activitiesEnglish level: upper-intermediate or higherNice to haveExperience with Data Science / Machine Learning, or Generative AI tools and frameworksResponsibilitiesDrive project architecture changesParticipate in roadmap creation, high-level planning, and backlog filling for the projectDevelop new features and improve existing system functionalityConduct work breakdown and end-to-end implementation for new functionalityWrite effective, scalable codeProvide time estimates for tasks, modules, and projectsPerform bug fixes across different project modulesConduct cross-reviews of codeContinuously discover, evaluate, and implement new technologies to maximize development efficiencyMentor less experienced engineersCreate and support technical documentationParticipate in pre-sales activitiesProvide project estimates and drive the start of new projectsCreate and update individual plans for your subordinatesCommunicate daily with stakeholders, including native speakersDemonstrate a willingness to go the extra mile for the projectMaintain trustworthiness, openness, and honestyBeing a member of the CodeIT team means:Career Path and growth opportunities (seniority level system, individual development plan, technical leads)Compensation of participation in conferences and workshops, invited expertsDevelopment of soft skills (people management and emotional intelligence training)Free access to the company account on Udemy educational platformInternal libraryCorporate English courses and communication with clients from English-speaking countriesExperienced and supportive team membersPaid time off (vacation, sick-leave, remote work)Legal supportWell-equipped offices located in Kharkiv, VinnytsiaIf you have any additional questions, please, feel free to contact me anytime.Recruiter, Olesia KovalovaSkype: live:99c89fac6494324bEmail: [email protected]","Харків, Вінниця, віддалено","Python, SQL, Django, Flask, FastAPI, PostgreSQL, DRF, Docker, Kubernetes, AWS, RabbitMQ, Celery",5+
Python Technical Lead in Intelligence Integration Team,https://jobs.dou.ua/companies/zone3000/vacancies/264296/,ZONE3000,"Your expertise: Python Expertise: 3-5 years+ of experience in Python, encompassing both commercial and significant personal projectsOOP Mastery: Deep understanding of Object-Oriented Programming principles and their practical applicationAPI Development Skills: Proven track record in developing scalable and efficient APIs, with a focus on BI & Data-centric applicationsConcurrency and Asynchrony: Proficiency in implementing Multiprocessing / Asynchronous processes to enhance application performanceFramework Proficiency: Solid experience with at least one major Python framework (e.g., Django, Celery, FastAPI)Database Expertise: Hands-on experience with at least one relational databases (e.g., PostgreSQL, MySQL) and one non-relational databases (e.g., MongoDB, ClickHouse)Version Control: Proficiency with Git (or similar systems like Bitbucket), demonstrating best practices in code versioning and collaborationTesting Frameworks: Experience with at least one of the major testing frameworks (Pytest, Unittest, etc.), ensuring a robust and reliable codebaseCI / CD Tools: Proficiency in using CI / CD tools (e.g., Jenkins) for streamlined and efficient development workflowsContainerization: Hands-on experience with Docker, showcasing skills in building, deploying, and managing containerized applicationsSoftware Architecture: Strong foundation in software architecture design, especially microservices and event-driven architectures, to support scalable and flexible systemsAnalytical and Problem-Solving Skills: Exceptional analytical abilities with a knack for translating complex business requirements into technical solutionsCloud Services: Proficiency with at least one major cloud service (AWS, Azure, or GCP), and a thorough understanding of cloud-native architectures Machine Learning: Familiarity with machine learning concepts and experience in deploying ML modelsLeadership and Communication: Excellent communication skills paired with leadership prowess, adept at mentoring and fostering collaboration across teamsAgile Methodology: Experience working in an agile environment, endorsing flexibility, and iterative progressWill definitely be a plus: Kubernetes (K8s) ProficiencyExperience with Python ORMs (e.g., SQLAlchemy, Peewee)Foundational Linux Administration and Networking SkillsFamiliarity with Atlassian Products (Jira, Confluence)Golang ProficiencyExperience with WebsocketsWhat’s in it for you? Opportunity to deal with top-notch technologies and approaches in a world-leader product company with millions of customersOpportunity to make a difference for online privacy, freedom of speech, and net neutralityDecent market rate compensation depending on experience and skillsDeveloped corporate culture: no micromanagement, culture based on principles of truth, trust, and transparency“You build it, you own it” mentality in most contextsSupport of personal and professional developmentcoverage of costs of external trainings, conferences, professional literaturesupport of experienced colleaguesin-house events and trainingsregular knowledge sharing in teamsEnglish classes and speaking clubsLife-balance supporttruly flexible schedule, no time-tracking at all25 working days of vacation5 days of paid sick leave per month (if necessary) without providing a medical certificategenerous maternity leave programProfessionally strong environment, friendly and open atmosphere, ability to influence the product development and recognition for itYou will be involved into: Hands-on Technical Work and LeadershipCode Reviews and Programming Standards: Lead code review sessions to ensure the utmost code quality, establishing and enforcing best practices in coding and securityTechnical Problem-Solving: Tackle complex technical challenges head-on, focusing on optimizing system performance and ensuring infrastructure scalability and securityTeam Management and DevelopmentHiring and Team Building: Take charge of the recruitment process, identifying skill gaps and aligning candidate selection with the team’s technical and cultural needs. Manage team composition decisively to uphold performance and moraleMentorship: Act as a mentor, guiding team members through complex issues and advocating for a culture of continuous learning and improvementWorkflow and Process OptimizationTechnical Workflows Design: Craft, implement, and refine technical workflows to boost efficiency, collaboration, and code quality, integrating modern CI / CD pipelines and automated testing frameworksAgile Practices: Champion agile methodologies, adapting them to fit the team’s unique dynamic and project requirements, ensuring agile ceremonies are effectively conductedProject Execution and Quality AssuranceActive Project Management: Adopt a proactive stance in project management, closely monitoring progress, and addressing challenges promptly to ensure timely and successful deliveriesQuality Assurance Strategy: Collaborate with QA engineers to weave quality assurance deeply into the development process, leading the creation of comprehensive test strategiesInnovation and Technical AdvocacyResearch and Innovation: Dedicate time to personal and team-wide research in new technologies, frameworks, and methodologies, fostering an environment of innovation and experimentationTechnical Representation: Serve as the technical voice in cross-departmental meetings, articulating technical solutions and advocating for necessary resources or changesStrategic and Operational BalanceStrategic Direction: While focusing on hands-on work, align technical direction with strategic business objectives, adapting to evolving market and organizational needsOperational Excellence: Directly contribute to and oversee day-to-day operations, ensuring the team’s efforts meet current demands while laying the groundwork for future successAbout the company and project: ZONE3000 is proud to represent its partnership with Namecheap (www.namecheap.com). Namecheap was founded in 2000 on the idea that all people deserve value-priced domains delivered through stellar service. Today Namecheap is a leading ICANN-accredited domain name registrar and web hosting company with over 13 million customers and 17 million domains under management — and we’re just getting started.Our culture is built on the values that we live every day: the way we work, the way we collaborate with our global network of colleagues and the way we relentlessly innovate solutions that meet the emerging needs of our customers.At Namecheap, we are looking for a dynamic and experienced Technical Leader with a strong background in BI / ML and Python to spearhead our newly established Intelligence Integration Team (IIT). This team is set to play a pivotal role within our organization, developing both existing and new microservices and infrastructure to integrate the capabilities generated by our BI business unit seamlessly. This integration spans various domains of business intelligence and machine learning, facilitating a crucial connection between raw BI & ML outputs and their application across the organization. This includes interfacing with technical teams, as well as supporting business operations such as product development, customer support, and executive decision-making. The IIT is tasked with adhering to and promoting the general architecture and technical standards as defined by the Technology Business Unit of Namecheap.Celebrating over 23 years of excellence, Namecheap stands as a leading technology firm, excelling in domain registration, web hosting, and many internet services. With our roots deeply embedded in the ethos of security, privacy, and reliability, we have become the 2nd largest domain registry globally. Our mission— to democratize access to domains and empower individuals and businesses to leverage the full potential of the web—is what propels us forward. As innovators, we continuously push the envelope in online presence management, ensuring ease of access and affordability for establishing a digital identity. By joining us, you become an integral part of a forward-thinking team committed to keeping the Internet open and accessible for all.Our endeavors also include the launch of Spaceship.com, a novel reimagination of domain registrar and online services. As a Technical Leader, you will contribute to Namecheap and Spaceship, driving innovation and excellence.Our organization leverages advanced Business Intelligence (BI) systems to process approximately 100GB of data daily, with internal storage exceeding 100TB across various data types. We currently have 25 models deployed in production, with a total of 35 machine learning models under development and testing. These models, which we update and expand at a rate of 1-2 every 2-3 months, aim for a benchmark accuracy of 96-97%. Our data processing infrastructure utilizes a wide range of sources, including hundreds of databases, APIs, and crawlers, and operates with a standard one-day latency for business metrics calculations while supporting real-time KPIs. Serving an internal user base of over 2000 employees, we handle approximately 10-15 requests daily, with 200 personalized licenses for daily BI tool usage. Model updates are scheduled according to business needs and can vary from daily to quarterly, ensuring continuous improvement in our operations.st amounts of data and complex machine learning models, optimizing the flow of business insights and decision-making processes across the organization. Here are some data points for you to get an idea of what our BI team is dealing with on the daily basis.",віддалено,"Python, SQL, Django, FastAPI, PostgreSQL, MySQL, MongoDB, Git, Bitbucket, Jenkins, Docker, Kubernetes, AWS, GCP, Azure, pytest, unittest, Requests, Celery, Multiprocessing",5+
Senior Python Developer,https://jobs.dou.ua/companies/evolved-ideas/vacancies/270563/,Evolved Ideas,"Amazing work happens when everyone enjoys the journey. This is why we and our partner Momox — Europe’s leading online buying-and-selling service for books, CDs, movies, games, and fashion do everything to set you up for success.We know that your ideas grow best in a challenging environment where a team of passionate professionals from diverse backgrounds come together to think outside the boxWe are looking for Senior Python Developer to join the Evolved Ideas team.YOUR MISSIONWorking with a passionate team on a central component of the momox tech stack (e.g. our momox purchasing platforms, our pricing systems, or the integration of marketplaces)Understanding and solving complex business requirementsConception and improvement of our software architectureTaking ownership of your work, engaging in agile ceremonies and code reviews, and sharing your expertise within the team and companyHaving a direct impact in a sustainable and financially stable companyOUR TECH STACKPython, Django, Flask, FastAPICelery, RabbitMQMySQL, MongoDB, ElasticsearchCentOS, DebianGitLab, CI/CDDocker, KubernetesReact, Vue.js, TypeScriptGoogle CloudTDD, DDD, ScrumYOUR PROFILEOur Tech Stack meets your experience and interestYou are a passionate team player and like to take over responsibilityTesting, clean architecture, and clean code are essential to youComfortable working on the command line (Linux/UNIX)Familiar with different database paradigms (SQL, NoSQL)Experience with distributed systemsIntermediate level of English and good communication skills for discussions and code reviewsNICE TO HAVEKnowledge of Hexagonal and Service-Oriented ArchitectureExperience with Google Cloud PlatformYOU CAN LOOK FORWARD TOWork in an agile environment (Scrum) with flat hierarchiesGrow with space and budget for your professional developmentEnjoy a good work-life-balance with flexible working hoursHealthcare insuranceABOUT USEvolved Ideas is a technology service provider located in Ukraine and is a sister company of Evolve IT Consulting, a multi-award-winning tech consultancy based in Leicester, UK.Founded in 2007 as a pure business management consultancy, Evolve has transformed into a full-fledged software house specialising in building client-managed Extended Teams, and offering bespoke software solutions to both startups and established brands.Our values are Listen, Transform and Enrich and we are driven by delivering true value for our clients through technological innovation.We are an energetic and dynamic agile company with unparalleled tech leadership team having more than 50 years of cumulative experience building and delivering own and custom state-of-the-art and meaningful software solutions.",віддалено,"Python, SQL, Django, Flask, FastAPI, MySQL, MongoDB, Elasticsearch, React, Vue.js, Git, GitLab, Docker, Kubernetes, RabbitMQ, Celery",5+
Senior Python Developer,https://jobs.dou.ua/companies/ixilix/vacancies/267218/,Ixilix,"An international product company specializing in gaming products is looking for a Senior/Strong Middle Python Developer.About project: — The project is a gaming solution that consists of multiple components such as frontend, backend, and other services.The team you will join works on the backend side. It is a high-load set of services that processes game logic and works with a database along with communicating with other service.Your future team: — PM, BackEnd Team (Python), QA Team, AQA Team, Frontend Team (JavaScript).Your future responsibilities: — Development of network applications;— Development of automation tools;— Support of the current project;— Active participation in the development of a new system;— Refactoring of an existing product.The following skills are mandatory: — Experience in a similar position for at least 5+ years;— Deep understanding of the multiprocessing, multithreading and asynchronous concepts;— Experience with Debian-based Linux distributions;— Understanding of client-server architecture;— Understanding of the principles of the HTTP protocol;— Experience in developing unit-tests, including for asynchronous code;— Experience with SQLAlchemy and MariaDB/MySQL (experience with MariaDB will be a plus);— Experience with Git.— Understanding microservice architecture— Understanding distributed transactionsThe following skills are desirable: — Experience in developing networked applications using the asynchronous framework(-s) (AsynclO/Aiohttp/Tornado/Sanic, willing to train);— Experience in Tornado will be a plus;— Experience with RabbitMQ, Kafka, Nats, Redis, MariaDB/MySQL/PostgreSQL/CockroachDB;— Experience with Docker, Docker composer;— Experience with AWS/Azure;— Experience with GitLab.What we offer:— Competitive salary and Quarterly bonus system.— Flexible schedule — You can choose convenient working hours (start work from 8 to 11, 8 hours/day) — Remote — No tracking systems.— Care for employees’ work-life balance — 17 working days of vacation; unlimited sick leave; preserved public holidays, in accordance with Ukrainian legislation.— Learning and professional development — Expert communities, paid professional courses and certifications, professional events.We value honesty, openness, friendliness, a positive attitude, and independence.Let’s create a cool product with us:)","за кордоном, віддалено","Python, SQL, JavaScript, Tornado, PostgreSQL, MySQL, Redis, MariaDB, Git, GitLab, Docker, AWS, Azure, RabbitMQ, Multiprocessing, Threading",5+
